,gini,mpr,tau,theil,nump,entropy,hhi,nc
2022-03-29,0.9270379072457485,0.08005692937199786,98,2.520604455063608,551,7.713370544094343,133.78585989124247,46
2022-03-30,0.9309075194468452,0.08556611927398444,90,2.579140118228554,540,7.628921433131081,144.02192060801588,42
2022-03-31,0.9301673654156052,0.08638743455497382,92,2.554836040373229,542,7.663984805726402,139.83656637092633,43
2022-04-01,0.9257167881950771,0.08805917576611483,98,2.5115545724193797,555,7.726426764905786,139.91328202844642,45
2022-04-02,0.9252371957011281,0.07956128133704736,96,2.489238724025925,563,7.75862172871622,127.5183114656155,45
2022-04-03,0.9277982686083818,0.09143255976269411,96,2.5406813689328054,551,7.684405680018886,147.14215326034247,46
2022-04-04,0.9271341265986724,0.09066901408450705,97,2.557882301200594,546,7.659589980337487,151.79837829795702,44
2022-04-05,0.9303111885894962,0.08201491180214585,91,2.55806570006969,544,7.659325391698478,136.7389749416658,44
2022-04-06,0.9265504581499127,0.08063687724704674,94,2.5343262270390365,574,7.69357421171322,139.64330862122344,44
2022-04-07,0.929502715865643,0.08806126000696136,91,2.5590908844819076,551,7.657846363231011,144.15270224150834,43
2022-04-08,0.9272413076463525,0.0797483421186873,97,2.524526210306566,565,7.707712647253753,134.44076664073796,45
2022-04-09,0.924038647810926,0.0858497191011236,99,2.492134855333058,585,7.754443494441743,137.47635340392605,46
2022-04-10,0.927599258291975,0.09186446820076101,95,2.5443999977607143,560,7.679040832649999,148.28118029133992,43
2022-04-11,0.9278061686634923,0.08768525052928723,94,2.549542783244008,554,7.671621361536862,145.63803078755745,43
2022-04-12,0.9270790245003769,0.08172571027709576,96,2.5306998204982976,560,7.698806010445767,136.82917044005225,44
2022-04-13,0.9254654610761263,0.08707170611091487,99,2.5106281127291257,578,7.72776336370653,140.41318045991562,47
2022-04-14,0.9259794001924531,0.08590152320226709,97,2.5080468072657864,563,7.731487400297506,138.0869079441949,47
2022-04-15,0.9247316407179629,0.08463494369778424,101,2.495173172812514,568,7.7500601288814135,137.32600132814235,48
2022-04-16,0.9268007560152983,0.087546900125067,98,2.519374268056738,561,7.715145328788498,140.53158790080258,47
2022-04-17,0.9272042940278494,0.09016393442622951,97,2.5388981466502965,553,7.686978325962697,145.54774947686147,45
2022-04-18,0.9264920110512181,0.08328986263258564,98,2.516057942802611,558,7.719929774786621,136.1997298119447,46
2022-04-19,0.9242473417155813,0.08392603129445235,99,2.5003543444644722,573,7.742585278233177,138.9929412455052,46
2022-04-20,0.9246176689553056,0.08679992796686475,99,2.4895433170819476,575,7.758182293824863,136.41834401036817,47
2022-04-21,0.9240611140085955,0.088287020752726,104,2.4908401486715,575,7.7563113613217265,139.70234263544012,49
2022-04-22,0.9247004837564291,0.09321726514327167,101,2.4979409371386483,563,7.746067089013758,145.34375452651426,49
2022-04-23,0.9261350557316087,0.08263712313839448,99,2.4957673767424544,545,7.749202873818412,130.9643516718345,48
2022-04-24,0.9254194209366623,0.08736263736263736,101,2.514588893648862,560,7.7220491647155765,143.44751707389025,47
2022-04-25,0.924415251340145,0.08830062939651981,102,2.4931867034036754,553,7.752925998446518,139.1959126030221,47
2022-04-26,0.9257043730066042,0.0839572192513369,100,2.5039658416917754,555,7.737374989093154,135.67254806638314,47
2022-04-27,0.9260238120691635,0.08508439545297967,100,2.5083506387088996,555,7.731049064181282,135.8964540584182,46
2022-04-28,0.9280589099547147,0.08265465257321088,96,2.5349600755242934,561,7.692659761646859,135.8956903074877,44
2022-04-29,0.9248374195360982,0.08159597411933861,98,2.483409519824601,563,7.767031492709913,129.2269395378836,48
2022-04-30,0.9229789254923053,0.08483657796035006,102,2.4757602521570816,574,7.778067053240233,134.0532928197155,48
2022-05-01,0.924346069111579,0.08065654782915638,100,2.500745064642384,577,7.742021588170107,135.4080526157288,46
2022-05-02,0.9235599736714198,0.08468717594192879,104,2.4837480503382774,575,7.7665430964165605,136.72883364245354,48
2022-05-03,0.9241890478669275,0.08970099667774087,102,2.5174857741032772,563,7.717869849649929,147.78780578238468,45
2022-05-04,0.9278412719789582,0.08361441505414521,93,2.5419754971059842,560,7.682538647721149,140.64396773735376,44
2022-05-05,0.9246034836438506,0.08388600107546156,101,2.496512988977862,557,7.748127182744048,137.30945890507292,48
2022-05-06,0.9263620870093358,0.08672472009952018,97,2.5309054399409807,563,7.698509364295518,144.190739961297,45
2022-05-07,0.9253956994073861,0.08664574616457461,100,2.5226260925382635,559,7.710453937735174,144.3718889141762,46
2022-05-08,0.9240811768440184,0.0897640588965762,102,2.5007909023464165,566,7.741955458341829,145.5527323351317,48
2022-05-09,0.9244365710254155,0.08279362856642744,102,2.485318277721411,563,7.764277737157897,131.95971894306334,48
2022-05-10,0.9230250083144736,0.09174311926605505,102,2.4925504749198595,581,7.753843882124922,145.65795220751644,47
2022-05-11,0.9262414253015074,0.08550323176361957,99,2.524663068494557,553,7.707515202624601,142.81419639880667,47
2022-05-12,0.924094183601211,0.08690330477356181,104,2.4827688503056837,556,7.7679557834476265,135.2228964347987,48
2022-05-13,0.9267588725584808,0.08842443729903537,98,2.533671833871878,544,7.694518301490213,144.89684661277823,45
2022-05-14,0.9266395248960146,0.08150526128054218,99,2.514405079207555,542,7.722314352898476,134.8765646804015,46
2022-05-15,0.9235119016971237,0.08797706504210714,105,2.485864489671847,557,7.763489719885698,140.27518880210195,49
2022-05-16,0.9266805261242749,0.08100558659217877,100,2.503416278809898,546,7.738167840737536,129.4252383664682,46
2022-05-17,0.9231846168650141,0.08772550406791652,105,2.4904318720652725,574,7.75690037995684,141.9613462532009,47
2022-05-18,0.9255337344613787,0.07883082373782108,97,2.503187041522993,568,7.738498560234577,131.09040114039925,45
2022-05-19,0.9237384360756962,0.08020629557175885,105,2.4663555486132265,553,7.791635172403961,126.80225322630551,49
2022-05-20,0.9245483920023363,0.08500175623463295,101,2.508878970495229,556,7.730286842533164,139.9022553951313,46
2022-05-21,0.9235317286921415,0.07835088345529181,103,2.4618585409746916,565,7.7981229830229,125.0002827008517,49
2022-05-22,0.9238612941458434,0.07677806341045415,103,2.4634879151501274,576,7.795772292980273,122.3297933972594,48
2022-05-23,0.9236242744091933,0.08224266006367174,104,2.4746031564965993,568,7.779736389411404,132.4210963335635,49
2022-05-24,0.9271650198292667,0.08017543859649123,96,2.515856984552341,544,7.720219696257699,130.5484764542938,45
2022-05-25,0.9260941933404883,0.08036350677120456,99,2.5035129593996928,556,7.738028360130072,131.24558971230056,46
2022-05-26,0.9254086588072765,0.080432392817882,104,2.4909262203978693,539,7.756187186068966,130.01378594338667,49
2022-05-27,0.9253207834516988,0.08218461001570407,99,2.4891000126113774,566,7.758821846986132,131.03710557803242,47
2022-05-28,0.9266074544472024,0.07610376224016492,99,2.502440913924572,549,7.739574994820605,125.95044375020109,46
2022-05-29,0.924754492018679,0.0893814801573114,102,2.4831608579534175,564,7.767390235958266,136.75654069832467,48
2022-05-30,0.9235094970967425,0.08131089459698848,104,2.470056961084038,573,7.786295162988106,129.58346703110885,48
2022-05-31,0.9254323360505426,0.07754890081357106,101,2.483475704444227,554,7.766936008487338,124.68220138061287,47
2022-06-01,0.9259355244669477,0.08681280445372304,99,2.5146999459283212,560,7.721888950142734,139.90282662839053,46
2022-06-02,0.925029731251459,0.08709677419354839,101,2.512787709982649,562,7.724647723458516,142.43586284862786,46
2022-06-03,0.9236852468689455,0.08473702303196975,103,2.4719810429887996,565,7.783519299565774,131.39542399974664,48
2022-06-04,0.9262752697004879,0.0834954891208208,98,2.5258260681549576,552,7.705837348782023,139.2731580072086,45
2022-06-05,0.9262287828417807,0.07492696339577247,97,2.490173193129633,571,7.75727357477447,123.26805059106601,46
2022-06-06,0.9282486231355199,0.07992469621769639,93,2.525064472354261,558,7.706936099266861,131.29188024515904,44
2022-06-07,0.9223951258175073,0.08099409976756661,107,2.4508559715919076,570,7.813996335308464,126.5639800510516,50
2022-06-08,0.926728251000847,0.07775225304824174,96,2.5263801108407096,570,7.705038034146848,135.37759052264124,44
2022-06-09,0.9227434472783022,0.08547447756080849,105,2.4732015516578825,584,7.781758477761536,135.5914240858087,48
2022-06-10,0.9239862364954862,0.07904148783977111,102,2.4708631347600436,571,7.785132100223546,127.24979072904088,49
2022-06-11,0.9229722134942296,0.08200821868858317,104,2.4715083186599616,566,7.784201296610675,130.1461013293925,48
2022-06-12,0.9242634687862553,0.0843095491657792,104,2.484331006089551,565,7.765702069045157,135.1239980296112,50
2022-06-13,0.9242526894587944,0.08328884143085959,101,2.4864563817605414,582,7.762635800104616,133.4262983677817,46
2022-06-14,0.9254724018413883,0.08300466116887774,103,2.4986979407461423,549,7.744974963663376,134.63420616849928,49
2022-06-15,0.9227394982436449,0.08191681735985533,106,2.4553702116480265,570,7.807483663566123,126.83014561376552,48
2022-06-16,0.922274586289863,0.07632232871849486,107,2.4307210323862054,565,7.843044912249152,116.59394903073992,51
2022-06-17,0.9233527611696852,0.08083419510513616,106,2.4594725214309543,551,7.801565281586082,125.35823981579428,50
2022-06-18,0.9245626933421504,0.07772020725388601,100,2.478537355415054,566,7.774060540141883,125.03603588907967,45
2022-06-19,0.9212655029999814,0.0782905369007003,107,2.4228625772046146,571,7.854382266568651,118.98943826903188,52
2022-06-20,0.9236079696225763,0.08168007149240393,104,2.45887521119928,568,7.802427018095153,126.25117696526233,50
2022-06-21,0.9230423112545925,0.08826156869751653,105,2.4830575542756814,559,7.7675392716618274,139.59435950670243,48
2022-06-22,0.9244513140227759,0.08357898387376453,104,2.492475908369066,562,7.753951458918011,134.3631958938117,47
2022-06-23,0.924915649570636,0.0875584322186264,100,2.5133056310319883,568,7.723900521329059,142.12057702385542,45
2022-06-24,0.9331358490818656,0.08658512910114541,85,2.6116642905817047,538,7.5819989709682005,146.58497608300016,39
2022-06-25,0.9298246034704375,0.09159871041153043,91,2.558168422963319,532,7.659177193889289,145.63131064007632,44
2022-06-26,0.932204437238279,0.08237652633497357,86,2.5815689811515936,528,7.62541732463708,136.41568225826856,41
2022-06-27,0.932431035922059,0.08996994740796393,88,2.587997098053411,531,7.616143512260531,146.11196001718258,44
2022-06-28,0.931773002387695,0.08770939205721814,88,2.578542324707146,535,7.629783866879949,142.32161017322804,43
2022-06-29,0.9324662152699461,0.09138130050019239,86,2.595261688572381,523,7.605662923544721,147.42847346650157,40
2022-06-30,0.9311962308722939,0.08876533742331288,86,2.594046660670026,532,7.60741583827403,149.65161466370373,41
2022-07-01,0.9347106878979112,0.09288044521205142,81,2.640400845848189,530,7.540540885192984,156.07309000221298,37
2022-07-02,0.9253853023363006,0.08736126029359112,97,2.4963153475515876,564,7.7484123190495415,135.50255875995006,45
2022-07-03,0.9209760453586847,0.08393371757925072,108,2.445460350903274,587,7.821780570518551,130.68349334352092,50
2022-07-04,0.9240937355058134,0.08397218755571403,100,2.4663864714900297,571,7.791590560122917,128.65596484726512,49
2022-07-05,0.9258363720907467,0.08427963094393187,100,2.5090491549208966,564,7.7300413183062275,135.44367270930394,45
2022-07-06,0.9243195323079071,0.08585947082530226,102,2.4843399367705112,551,7.765689184796021,133.38379309035204,48
2022-07-07,0.9236334733081473,0.07592948158491883,105,2.4553829230925923,568,7.8074653248281125,120.26985652458067,50
2022-07-08,0.9218651914626491,0.08227401129943503,109,2.438352713621434,559,7.832034723577438,124.21473514954182,50
2022-07-09,0.9252491240718439,0.08660014255167499,102,2.4897881489099123,554,7.757829076160822,134.517902529403,50
2022-07-10,0.9238069468175452,0.07846940574854523,102,2.4657612596044336,569,7.792492550209751,125.05472207126856,50
2022-07-11,0.9239460167131684,0.07690928648261025,104,2.4601175879968515,566,7.800634647250533,120.66496960026195,47
2022-07-12,0.9234779003666684,0.07810820494446435,102,2.462217704567806,582,7.797604819488282,123.80866430858943,48
2022-07-13,0.923273675496352,0.0838789594761989,104,2.455076042041169,558,7.807908060599143,126.84146181032416,50
2022-07-14,0.9229951152007105,0.0830188679245283,103,2.470021265226791,577,7.786346661224293,131.27645267196723,48
2022-07-15,0.9215370904855942,0.08528634361233481,110,2.4485527104284697,571,7.817319238766795,131.21155077723213,52
2022-07-16,0.9257774026739544,0.08479020979020979,100,2.500587269724168,565,7.742249238116169,134.13858868404353,46
2022-07-17,0.9206415173684848,0.08575966119640022,110,2.433025328551316,574,7.83972051559908,129.97865258073895,53
2022-07-18,0.9231841668711788,0.07735386769338468,106,2.4343230786921017,557,7.837848257906656,117.11558626583768,53
2022-07-19,0.9231900506957772,0.08204667863554757,104,2.466319430972315,561,7.7916872791453855,128.54191310850345,49
2022-07-20,0.9214020917469193,0.07986050566695728,108,2.4208069946870667,564,7.857347845272898,120.32298350041701,55
2022-07-21,0.9240093517197654,0.08059914407988587,104,2.455555269025054,552,7.8072166822060165,122.76251981579185,51
2022-07-22,0.9226749428107167,0.08537258509659613,108,2.470464452275883,544,7.785707277466329,134.92872612602423,50
2022-07-23,0.925135821914431,0.08102229472539424,101,2.4746505361690714,538,7.779668034992922,125.09819780598758,49
2022-07-24,0.9229833207802557,0.08903133903133903,103,2.471932744102688,576,7.783588980129229,138.35241799985377,50
2022-07-25,0.9207127902902449,0.08460593294716517,112,2.421304423118227,562,7.8566302077420485,125.77440297359405,54
2022-07-26,0.9193976803890996,0.08907032844683614,111,2.4247191561806574,564,7.851703789286907,132.6637311023144,54
2022-07-27,0.9284187088845515,0.09188679245283018,98,2.547592005154959,527,7.674435739411868,147.59273762904897,47
2022-07-28,0.9257283119493408,0.08736959761549926,101,2.495496171229906,537,7.749594140666504,135.2601995375811,48
2022-07-29,0.9243707313010162,0.08677536231884057,98,2.494793339028466,568,7.75060811319805,138.7608958202058,47
2022-07-30,0.9269020615222017,0.0887877063175868,101,2.5237997538102976,532,7.70876070243836,140.97857785146223,47
2022-07-31,0.9263770451711709,0.08092082316009766,99,2.4957196905651218,563,7.74927167043,127.90386594918623,46
2022-08-01,0.9227271397842601,0.08344899375433727,104,2.4322252207599755,574,7.840874827141759,123.0423008927124,52
2022-08-02,0.9244911366719563,0.0853809439632314,104,2.4722130949498586,549,7.783184519352392,129.94736614978837,50
2022-08-03,0.924210490624894,0.0888495575221239,103,2.4911409107270743,561,7.755877453395724,139.44709844153823,48
