,gini,mpr,tau,theil,nump,entropy,hhi,nc
2023-03-03,0.9990932541270601,0.31905902239752076,3,7.543175916772614,252,3.085174092674786,2053.5589859956854,2
2023-03-04,0.9990642381761389,0.3261114237478897,3,7.50126103913815,253,3.145644478777496,2048.418341155953,2
2023-03-05,0.9992538760573376,0.3598314606741573,3,7.593422480564447,215,3.0126836242704913,2183.3022976896755,2
2023-03-06,0.9990861790019834,0.40227784026996627,3,7.572433895115501,257,3.0429637524129314,2344.864855546059,2
2023-03-07,0.9990036440016773,0.3482293423271501,3,7.486825267975734,264,3.166470894244786,2118.151038235425,2
2023-03-08,0.9991684822888819,0.35228712174524984,3,7.530306543089186,232,3.103740674267119,2105.519252035798,2
2023-03-09,0.9990255742381846,0.30043582173485167,3,7.521692157470772,267,3.1161686056791718,2062.0145533226905,2
2023-03-10,0.9990902578603369,0.30683422761931656,3,7.522240791167877,246,3.115377094565031,1980.5635855956502,2
2023-03-11,0.9991822828405023,0.3490300815293787,3,7.596758841722692,229,3.00787027257292,2325.77030376181,2
2023-03-12,0.9991298433747049,0.23730482486988325,4,7.4869110330001805,229,3.1663471614694334,1836.5148708945617,3
2023-03-13,0.9992098878993251,0.2840701754385965,3,7.546955169421278,214,3.079721783620251,1919.4754324407606,3
2023-03-14,0.9992070326213283,0.3153975835908963,3,7.550473634493935,225,3.074645711508457,1930.4765861962612,2
2023-03-15,0.9990860028180342,0.26813124911984226,3,7.451764195933704,240,3.217053329008205,1787.2558853238047,3
2023-03-16,0.999100764107202,0.30973451327433627,3,7.489114644147112,239,3.1631680225956944,1897.3730174219286,2
2023-03-17,0.999111901997375,0.36649803260258573,3,7.574855569787489,247,3.039470014373015,2148.7860685576416,2
2023-03-18,0.9991931931146296,0.326920376351636,3,7.5346398611204854,223,3.0974890178329035,1952.65635298726,2
2023-03-19,0.9991269541380859,0.3179645768906382,3,7.490738359489576,238,3.1608254965232883,1913.672422981857,2
2023-03-20,0.9991315030542324,0.3485698261357263,3,7.537258582799673,240,3.093711001052902,2063.691044824476,2
2023-03-21,0.9991830381794661,0.37062543921293045,3,7.603042268597125,231,2.9988052037813624,2206.685370203107,2
2023-03-22,0.9991095283931068,0.37235087719298243,3,7.561142438908107,247,3.0592538802878426,2153.038202523858,2
2023-03-23,0.9991052178981303,0.34403153153153154,3,7.519150285980439,240,3.1198357510729315,2058.4536183142627,2
2023-03-24,0.9989916075342098,0.3044516219632074,3,7.419779564648182,266,3.263197397948548,1840.6801712552356,2
2023-03-25,0.9990961035222288,0.35692221286155573,3,7.463140131886743,244,3.2006413226232358,2055.8227722224933,2
2023-03-26,0.9990647805505064,0.36197697276046054,3,7.472904266814793,249,3.186554653583961,2103.764841131667,2
2023-03-27,0.9990766072446288,0.39690794096978216,3,7.563519012010545,254,3.0558252100585905,2281.9105262456305,2
2023-03-28,0.9991109878802985,0.38559977499648435,3,7.561489802254899,243,3.0587527409099895,2267.6882108943773,2
2023-03-29,0.9990282068015028,0.37902432166455785,3,7.59554073911655,268,3.0096276231621255,2269.673570404063,2
2023-03-30,0.9991111869380346,0.410508569822984,3,7.611838553456045,246,2.9861148472372716,2375.730086359433,2
2023-03-31,0.9990905921099276,0.4142335766423358,3,7.579189184164787,250,3.0332179304019413,2364.629483149388,2
2023-04-01,0.9989126936063693,0.35254427888670226,3,7.400963960634167,276,3.290342576550756,2005.344662439045,2
2023-04-02,0.9990283829386172,0.3475137343287787,3,7.399124244368472,252,3.2929967260840023,1953.4784257124986,2
2023-04-03,0.9990112758016688,0.3557502119242724,3,7.458172343452077,263,3.2078083263621053,2035.1768343076951,2
2023-04-04,0.9990684050997337,0.38513032331576696,3,7.525804844832065,251,3.1102352520183993,2202.8644162939136,2
2023-04-05,0.9990032962452486,0.40826469752911104,3,7.57464681872321,269,3.0397711784984187,2397.0362109406597,2
2023-04-06,0.9989144430208403,0.3988563259471051,3,7.486587916654323,282,3.1668133198191497,2285.542874748134,2
2023-04-07,0.9989211524566554,0.36242561632190423,3,7.4169023165965,278,3.2673483894439936,2057.1950452876304,2
2023-04-08,0.9989410139633532,0.37595581988105353,3,7.437067020073291,278,3.2382568717370974,2141.968923386916,2
2023-04-09,0.9990300789121305,0.39758694109297377,3,7.438737380256498,257,3.235847051384206,2176.9933828007324,2
2023-04-10,0.9990030073071562,0.3745753114382786,3,7.4548683969083145,265,3.2125749136561557,2085.0408784784727,2
2023-04-11,0.9990580183223441,0.44342161166973515,3,7.558979758051822,255,3.0623739692341836,2481.584547356278,2
2023-04-12,0.999044619102764,0.43814139110604333,3,7.5420183745183795,259,3.0868440731445332,2442.9289495000276,2
2023-04-13,0.9988962512209792,0.5307314074984635,3,7.669856983428323,281,2.902411946036028,3164.813652829194,1
2023-04-14,0.9990523606764123,0.48758207250927776,3,7.668343361726162,268,2.904595640559623,2824.8263855075324,2
2023-04-15,0.9990774217102162,0.42977207977207976,3,7.505771257917654,253,3.139137608510876,2365.0404623338745,2
2023-04-16,0.9989775383739543,0.4298494745810849,3,7.5031568811027745,272,3.142909356976875,2364.8440835492092,2
2023-04-17,0.9990396097690784,0.4229299363057325,3,7.65640220429802,271,2.9218230891636097,2457.1398233670093,2
2023-04-18,0.9989044691519234,0.4470854555744199,3,7.648769941908453,300,2.9328341162637535,2592.8409413734885,2
2023-04-19,0.9991389725642629,0.45346702443157744,3,7.691983457963301,251,2.8704901909520015,2641.8908635664857,2
2023-04-20,0.9990242900827643,0.3902091931122812,3,7.590195492770438,268,3.017339183558077,2274.9927402951303,2
2023-04-21,0.9990699196597225,0.3433361510284587,3,7.507332096733107,255,3.1368857940922914,2019.693537347498,2
2023-04-22,0.9987578216859253,0.42384755499509597,3,7.472820819553454,314,3.1866750425341963,2344.6789489141233,2
2023-04-23,0.9987398305955378,0.4330388444818399,3,7.556639730081172,323,3.065749915983185,2471.2845789302164,2
2023-04-24,0.998830389762154,0.3538073201514514,3,7.504521755224883,306,3.1409402598495286,2115.731241613134,2
2023-04-25,0.9987055369022318,0.3401656605362909,3,7.440540775333081,325,3.233245302250495,2064.6550576403474,2
2023-04-26,0.9989365974702064,0.35228070175438597,3,7.438166148623905,278,3.2366711644277824,2047.3466051092778,2
2023-04-27,0.9986867623023965,0.38720112517580874,3,7.425177380646598,324,3.2554099955759974,2160.4067882442023,2
2023-04-28,0.9987818175837024,0.4298553573936245,3,7.550580450358772,317,3.074491608790016,2426.4051959112594,2
2023-04-29,0.9986900979193334,0.42865176437508784,3,7.484094055761961,329,3.1704112005613125,2373.601705741524,2
2023-04-30,0.9987671225038126,0.43338480977116384,3,7.581578830925934,321,3.029770398870065,2483.478913440306,2
2023-05-01,0.9989235450036043,0.46293430862287244,3,7.72378052001873,300,2.824616727209797,2769.5888159616234,2
2023-05-02,0.9989249888595891,0.4064126001968781,3,7.644756254636023,296,2.9386246429872904,2415.806560259765,2
